SimID,R,C,VDC,x,Vout
28_1c3fa7da,1627.4659714687234,1.042995647548291e-05,7.973726228491937,0.0,0.0
32_30782a6a,3325.6710455677044,5.814800785606946e-05,11.628551033574999,0.0,0.0
31_03e86cbe,9678.346351098678,9.251949982584205e-05,5.610257512479342,0.0,0.0
27_9bed2c17,533.6572812935649,1.4537966467718086e-05,7.107178465595071,0.0,0.0
25_a3994c89,2026.923207734479,4.944968284252744e-05,11.172892722432298,0.0,0.0
30_a4f1635c,7473.145343487389,1.714223755683492e-05,2.543735567703039,0.0,0.0
29_180d985d,6862.184637100301,5.8805692760553434e-05,2.164871441258286,0.0,0.0
26_800a6e27,4720.537936897638,3.3053135112045253e-05,1.2734544052488195,0.0,0.0
38_e3e4fabf,2346.4025556037527,7.82952492023036e-05,1.196204623746865,0.0,0.0
39_412ba577,6731.158547356852,8.364726992251614e-06,2.2005839644230845,0.0,0.0
36_1d5b0fda,1386.2229028211693,9.586006540282039e-05,6.141197617108206,0.0,0.0
35_0be93109,1975.7664549344283,2.37810671586678e-06,9.847970071742678,0.0,0.0
33_9ced3e03,3767.551089745202,3.475229347303023e-05,7.556468085578101,0.0,0.0
34_b17944e2,4748.602531630499,5.913245759899354e-05,11.263255437602323,0.0,0.0
40_6a50ae7e,4427.8039968360745,4.871716725073222e-05,10.1237147637101,0.0,0.0
45_aa7547e6,8067.167139218339,2.6770868742880167e-05,10.545128491536122,0.0,0.0
41_278f8ece,8343.514140972591,4.9121628736016646e-05,9.76498797157678,0.0,0.0
37_a794a184,4809.478769636744,4.828211335059574e-05,9.632397941774062,0.0,0.0
42_3996cf08,7032.624509822266,9.378886285200079e-05,3.5590481616307708,0.0,0.0
46_fc067b61,3936.035952398727,3.322374283452097e-05,7.634178730725982,0.0,0.0
43_9003c284,3192.4297496822064,5.7215632432369935e-05,6.838465496589588,0.0,0.0
44_8ef2a743,8339.372033812491,4.740159116558969e-05,7.66617402770012,0.0,0.0
53_9ede31b2,6682.0234802611185,5.5448210739551035e-05,3.726235192464939,0.0,0.0
54_42a36d5c,7081.137248400718,1.0946716539430812e-05,3.6032859929733925,0.0,0.0
52_244d7b77,7890.55133727117,1.4110883990961217e-05,5.992865702839297,0.0,0.0
49_97501a8e,1483.549587732167,2.2590467800450094e-06,5.684702950108608,0.0,0.0
56_cf6abd3d,4643.266177829565,2.819525500551693e-05,9.982256397663015,0.0,0.0
58_8cdf2057,1483.9902814638087,7.272676196725957e-05,1.7321474265069599,0.0,0.0
57_7bda43e9,5730.537839933648,6.597632120572099e-05,2.1580588783953747,0.0,0.0
55_7d597f8e,7829.217407117482,6.72567852946772e-05,9.20615708267791,0.0,0.0
51_6133b261,172.88647053495458,8.96264611067927e-05,10.542396949275574,0.0,0.0
48_45275757,6856.705489352257,4.394725488447417e-05,5.11602447747901,0.0,0.0
50_ff332525,2079.091204503572,8.264656322701634e-05,8.171241281379716,0.0,0.0
59_8c2a2a38,1233.847728006137,7.688788444257394e-05,7.5387703013209695,0.0,0.0
60_449d3742,6717.189321725669,1.0863320500994067e-05,2.607905686119681,0.0,0.0
61_d667d093,4763.852440817012,9.160958332924703e-05,10.071306095019754,0.0,0.0
67_f59d87cb,3109.105970819861,8.084432205922376e-05,2.689747347112645,0.0,0.0
47_c742ff5d,2954.4482289094167,5.211517300690663e-05,5.538287262010484,0.0,0.0
65_1a46ee38,5580.4360665141585,3.715513615785763e-05,2.8208489500880596,0.0,0.0
69_b0a996e6,4423.502153400387,9.529464956746752e-05,1.2326281797008405,0.0,0.0
70_c6200af9,2224.388260913339,2.916269203019785e-05,1.6093495008068612,0.0,0.0
71_6b3193fd,4144.433572873898,5.155420721024828e-05,2.9210561802943795,0.0,0.0
68_31708100,405.09656222260014,3.1782175392989264e-05,2.2703907003189046,0.0,0.0
63_6cf9ee5e,7673.4886884186535,3.83751436200036e-06,2.582591262682569,0.0,0.0
73_3177e9c1,2416.0009100668735,9.361075264789145e-05,7.502581977220683,0.0,0.0
62_124f704f,5695.8374541637695,2.3098377690398594e-05,4.413681413164818,0.0,0.0
76_548636b6,3006.5782018901677,4.3566196294303494e-05,4.497902066472544,0.0,0.0
74_7ede99e9,677.1971427217536,1.654432097644361e-05,8.48785979479457,0.0,0.0
66_ca7430b1,5636.150891379594,8.299599533892807e-05,4.1319209057172905,0.0,0.0
75_41a744d6,2885.7005310177656,4.586570877293666e-06,5.32993502515231,0.0,0.0
81_4c3cb1dc,4123.229928256698,8.935531930581654e-05,2.9964825055617648,0.0,0.0
79_35bfebd3,7860.592270153494,7.488594114374924e-05,10.362447895044266,0.0,0.0
64_c1cfdd6f,6383.711368005849,5.5529761692209194e-05,11.130675197361953,0.0,0.0
84_25d3a6bf,324.8495240252187,7.72240419678877e-05,7.2835591691705,0.0,0.0
82_914699da,8158.801808193743,5.193395020260627e-05,3.604193582148356,0.0,0.0
72_e6a34e6f,8548.690425354844,2.5670912547703516e-05,1.5872012588989293,0.0,0.0
86_90b2c6b5,7251.357570904858,3.742840711448364e-05,1.5417953192035339,0.0,0.0
87_bb7221ed,4672.5845794887355,9.537220139345377e-06,5.109755523055288,0.0,0.0
89_22579015,5060.343273523299,2.631980554069418e-05,2.118390931940876,0.0,0.0
90_f3ce5cfb,1607.8898168603673,9.368763373832455e-05,10.168044091674156,0.0,0.0
91_8547261c,6993.571713269586,2.4172960443067906e-05,1.5715805311161468,0.0,0.0
92_93016714,4516.947128182904,1.2363517447907456e-05,11.173260559198683,0.0,0.0
83_5bc86aab,1753.0319070862688,3.1661312277896223e-05,3.74326333415433,0.0,0.0
80_506421e7,6676.704049241137,8.909016983876464e-05,1.4782256821407114,0.0,0.0
94_6eeb347a,3084.9696825639776,1.5413103230786955e-05,10.27932446757528,0.0,0.0
77_8053ef85,6652.973495796261,9.923831884917813e-05,6.5497886072445315,0.0,0.0
78_84afff5b,5614.618308178656,8.917855889886591e-05,10.625054364580695,0.0,0.0
96_efb07469,3681.9448444785653,5.997834087293227e-05,11.77527748645252,0.0,0.0
88_9cb566d8,1696.5906124326577,7.47042821737677e-05,6.761282435894009,0.0,0.0
95_921541e5,6339.797671876996,1.8008903984958135e-05,10.929184583203789,0.0,0.0
98_004636cf,1268.2584309931017,1.9723823104885866e-05,9.574252948484618,0.0,0.0
85_bb8667ad,991.4738216788534,6.619996019045934e-05,5.578886682735115,0.0,0.0
97_84f7d94e,967.7342012293999,8.746874787966271e-05,9.82228468300953,0.0,0.0
93_7c562695,3872.1101383551763,8.312815594527813e-05,2.0902445573786306,0.0,0.0
99_a237437f,9622.786879040194,3.1101334922719474e-05,8.067316035951023,0.0,0.0
